No:1,Name: Βουλευτής,NO DATA
No:2,Name:Αβδελάς Κωνσταντίνου Απόστολος,Period:ΙΗ΄(17/07/2019-22/04/2023),Date:07/07/2019,Administrative-Region:Α'ΘΕΣΣΑΛΟΝΙΚΗΣ,Parliamentary-Party:ΕΛΛΗΝΙΚΗΛΥΣΗ-ΚΥΡΙΑΚΟΣΒΕΛΟΠΟΥΛΟΣ,Description:Εκλογής
No:3,Name:Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period:Α'(17/11/1974-22/10/1977),Date:17/11/1974,Administrative-Region:ΙΩΑΝΝΙΝΩΝ,Parliamentary-Party:ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description:Εκλογής
No:3,Name:Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period:Β'(20/11/1977-19/09/1981),Date:20/11/1977,Administrative-Region:ΙΩΑΝΝΙΝΩΝ,Parliamentary-Party:ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description:Εκλογής
No:3,Name:Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period:Γ'(18/10/1981-07/05/1985),Date:18/10/1981,Administrative-Region:ΙΩΑΝΝΙΝΩΝ,Parliamentary-Party:ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description:Εκλογής
No:3,Name:Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period:Δ'(02/06/1985-02/06/1989),Date:02/06/1985,Administrative-Region:ΕΠΙΚΡΑΤΕΙΑΣ,Parliamentary-Party:ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description:Εκλογής
No:3,Name:Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period:Ε'(18/06/1989-12/10/1989),Date:18/06/1989,Administrative-Region:ΕΠΙΚΡΑΤΕΙΑΣ,Parliamentary-Party:ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description:Εκλογής
No:3,Name:Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period:ΣΤ'(05/11/1989-12/03/1990),Date:05/11/1989,Administrative-Region:ΕΠΙΚΡΑΤΕΙΑΣ,Parliamentary-Party:ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description:Εκλογής
No:3,Name:Αβέρωφ - Τοσίτσας Αναστασίου Ευάγγελος,Period:ΣΤ'(05/11/1989-12/03/1990),Date:02/01/1990,Administrative-Region:ΕΠΙΚΡΑΤΕΙΑΣ,Parliamentary-Party:ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description:Απεβίωσε(αντικαταστάτης:ΚοραχάηςΒασίλειοςΙωάννη)
No:4,Name:Αβραμάκης Αντωνίου Ελευθέριος,Period:ΙΗ΄(17/07/2019-22/04/2023),Date:07/07/2019,Administrative-Region:ΣΕΡΡΩΝ,Parliamentary-Party:ΣΥΝΑΣΠΙΣΜΟΣΡΙΖΟΣΠΑΣΤΙΚΗΣΑΡΙΣΤΕΡΑΣ,Description:Εκλογής
No:5,Name:Αβραμίδης Νικολάου Γαβριήλ,Period:ΙΔ΄(06/05/2012-19/05/2012),Date:06/05/2012,Administrative-Region:Α'ΘΕΣΣΑΛΟΝΙΚΗΣ,Parliamentary-Party:ΑΝΕΞΑΡΤΗΤΟΙΕΛΛΗΝΕΣ-ΠΑΝΟΣΚΑΜΜΕΝΟΣ,Description:Εκλογής
No:5,Name:Αβραμίδης Νικολάου Γαβριήλ,Period:ΙΕ΄(17/06/2012-31/12/2014),Date:17/06/2012,Administrative-Region:Α'ΘΕΣΣΑΛΟΝΙΚΗΣ,Parliamentary-Party:ΑΝΕΞΑΡΤΗΤΟΙΕΛΛΗΝΕΣ-ΠΑΝΟΣΚΑΜΜΕΝΟΣ,Description:Εκλογής
No:6,Name:Αβραμίδης Χρήστου Αλέξανδρος,Period:Α'(17/11/1974-22/10/1977),Date:17/11/1974,Administrative-Region:ΚΙΛΚΙΣ,Parliamentary-Party:ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description:Εκλογής
No:6,Name:Αβραμίδης Χρήστου Αλέξανδρος,Period:Β'(20/11/1977-19/09/1981),Date:20/11/1977,Administrative-Region:ΚΙΛΚΙΣ,Parliamentary-Party:ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description:Εκλογής
No:6,Name:Αβραμίδης Χρήστου Αλέξανδρος,Period:Γ'(18/10/1981-07/05/1985),Date:18/10/1981,Administrative-Region:ΚΙΛΚΙΣ,Parliamentary-Party:ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description:Εκλογής
No:6,Name:Αβραμίδης Χρήστου Αλέξανδρος,Period:Δ'(02/06/1985-02/06/1989),Date:02/06/1985,Administrative-Region:ΚΙΛΚΙΣ,Parliamentary-Party:ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description:Εκλογής
No:7,Name:Αβραμόπουλος  Λάμπρου  Δημήτριος ,Period:Η'(10/10/1993-24/08/1996),Date:10/10/1993,Administrative-Region:Α'ΑΘΗΝΩΝ,Parliamentary-Party:ΝΕΑΔΗΜΟΚΡΑΤΙΑ,Description:Εκλογής
